Size(bigger_more_difficult),Year(older_more_difficult),Protection_from_defuse,Meters_under_the_ground,Random_detonation_chance,Detonation_power_in_m,Decision
7,1973,0,0,84,9,detonate
1,1997,0,8,35,0,detonate
1,2020,1,3,62,1,detonate
3,1989,0,5,25,2,defuse
8,2012,0,2,6,0,defuse
5,1949,0,7,9,0,defuse
3,2000,1,5,29,0,detonate
3,2005,0,4,44,2,defuse
7,1969,0,2,44,0,defuse
8,1965,0,5,57,0,defuse
3,1990,0,9,5,0,detonate
5,2015,1,6,80,0,detonate
8,1992,0,1,94,6,detonate
1,1966,0,9,51,0,detonate
3,1971,0,3,83,5,detonate
9,2002,1,2,74,0,detonate
2,1975,0,0,9,7,defuse
9,1974,0,2,69,2,defuse
7,2010,1,8,58,1,detonate
3,1941,0,8,55,1,detonate
8,1977,0,7,68,1,defuse
8,1965,0,9,57,0,detonate
5,1984,0,6,11,0,defuse
7,1952,0,3,79,3,detonate
8,2012,1,5,1,1,detonate
9,1970,0,7,93,0,detonate
9,1948,0,4,88,4,detonate
7,2006,0,8,34,0,detonate
9,1981,0,0,88,9,detonate
1,2013,1,7,43,0,detonate
3,1946,0,3,69,6,defuse
4,1953,0,3,72,0,defuse
9,1955,0,5,1,0,defuse
2,1987,0,4,46,5,defuse
4,1997,0,8,8,0,detonate
9,1963,0,6,26,0,defuse
8,2008,1,7,97,0,detonate
8,1950,0,8,71,0,detonate
7,2016,0,0,70,8,defuse
1,2009,0,8,99,0,detonate
2,2002,1,7,26,0,detonate
2,1987,0,5,48,0,defuse
3,1988,0,5,49,2,defuse
4,1975,0,1,14,1,defuse
2,1975,0,2,25,4,defuse
8,1993,0,2,47,5,defuse
8,1963,0,4,79,0,detonate
4,2021,1,8,5,0,detonate
2,2012,0,3,56,0,defuse
7,2007,0,5,50,3,defuse
2,1988,0,4,92,0,detonate
8,1981,0,6,14,0,defuse
6,2003,1,3,68,0,detonate
8,2013,0,7,57,0,defuse
1,1968,0,6,39,2,defuse
8,1966,0,2,71,7,defuse
6,1997,0,0,59,4,defuse
7,1943,0,4,23,5,defuse
1,1999,0,5,63,4,defuse
5,2015,1,0,40,0,detonate
8,2020,1,5,40,0,detonate
6,1956,0,7,60,0,defuse
3,1989,0,1,1,5,defuse
